Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,0,0,0,0,0,0.07854,9.8175E-07,3.5293E-21,-3.7944E-37,0.0065455,9.5586E-55,0.0065455,0,0,0,0,0,0,package://cartpole_mujoco/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cartpole_mujoco/meshes/base_link.STL,,worldframe-1,Global_Coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
cart,1.0408E-17,-0.010651,0,0,0,0,0.042956,1.0797E-05,6.8054E-21,-4.5446E-21,4.0691E-05,2.9659E-21,4.0384E-05,0,0,0,0,0,0,package://cartpole_mujoco/meshes/cart.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cartpole_mujoco/meshes/cart.STL,,cart-1,Coordinate System_Cart,Z_cart,cart_prismatic,prismatic,0,0,0,-1.5708,0,1.5708,base_link,0,0,-1,1000,100,-0.47,0.47,,,,,,,,
pole_hinge,0.11369,7.263E-07,0.0076308,0,0,0,0.031087,1.8771E-05,-9.3199E-10,-4.0181E-05,0.00032381,-4.1576E-10,0.00030542,0,0,0,0,0,0,package://cartpole_mujoco/meshes/pole_hinge.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cartpole_mujoco/meshes/pole_hinge.STL,,pole-1,Coordinate System_Pole,Z_pole,pole_hinge,continuous,0.036,-0.02,0,1.5708,0,1.5708,cart,0,0,1,,,,,,,,,,,,
