Wall time,Step,Value
1774154290.897038,4096,16.626358000000000
1774154291.822503,6144,13.341256000000000
1774154293.2589819,8192,7.3577880000000
1774154294.8474259,10240,22.14099900000000
1774154296.4620249,12288,25.872395000000001
1774154298.0201559,14336,28.817426999999999
1774154299.6136470,16384,18.785499999999999
1774154301.217585,18432,29.019133000000000
1774154302.2001491,20480,28.417566000000001
1774154303.7675641,22528,46.59006100000000
1774154305.3541350,24576,16.58157700000000
1774154306.5068009,26624,24.886818000000002
1774154307.2047091,28672,21.821075000000000
1774154308.1588690,30720,19.138940999999999
1774154309.7996340,32768,54.79144300000000
1774154310.758739,34816,36.548701999999999
1774154311.5339861,36864,21.953935999999999
1774154312.1563179,38912,32.25517300000000
1774154312.907727,40960,17.518720999999999
1774154313.5129099,43008,50.522587000000001
1774154314.1892381,45056,28.923058000000001
1774154314.892892,47104,20.67691400000000
1774154315.8160219,49152,21.891029000000000
1774154316.8012631,51200,59.097538000000000
1774154317.9518039,53248,36.187950000000001
1774154319.5342450,55296,25.397348000000001
1774154320.5778871,57344,15.069808999999999
1774154321.701053,59392,48.35108900000000
1774154322.3406510,61440,47.94554100000000
1774154322.8818581,63488,32.921790999999999
1774154323.6918361,65536,14.630445000000000
1774154324.3714621,67584,19.798947999999999
1774154324.9937830,69632,24.46226700000000
1774154325.9373240,71680,19.3441160000000
1774154326.5961630,73728,17.704792000000001
1774154327.357079,75776,23.940722999999998
1774154328.3528869,77824,20.59779200000000
1774154329.0830910,79872,16.54840100000000
1774154329.8237460,81920,19.337975000000000
1774154330.856599,83968,15.183240000000000
1774154331.442639,86016,15.23927100000000
1774154332.1597691,88064,23.10630200000000
1774154332.7267320,90112,23.35199700000000
1774154333.3409450,92160,12.299458000000000
1774154334.0988929,94208,17.06027600000000
1774154335.0742180,96256,16.74252700000000
1774154335.7799680,98304,9.154374000000001
1774154336.4120970,100352,16.45798100000000
1774154337.2585480,102400,19.543371000000000
1774154337.7737701,104448,27.661663000000001
1774154338.3102500,106496,24.35978100000000
1774154339.0436821,108544,13.095867000000000
1774154339.6119730,110592,27.975248000000001
1774154340.2803259,112640,13.28625800000000
