Wall time,Step,Value
1774154287.4889767,2048,86.0
1774154290.8966439,4096,108.70270538330078
1774154291.8221526,6144,130.1914825439453
1774154293.2586112,8192,145.19642639160156
1774154294.8470361,10240,154.5757598876953
1774154296.4616313,12288,172.8428497314453
1774154298.019775,14336,186.31944274902344
1774154299.6130657,16384,212.40789794921875
1774154301.217123,18432,230.62025451660156
1774154302.1998038,20480,245.91566467285156
1774154303.7670708,22528,263.6588134765625
1774154305.353584,24576,280.5862121582031
1774154306.5064101,26624,296.7528076171875
1774154307.204449,28672,312.20880126953125
1774154308.1583629,30720,318.6666564941406
1774154309.7991948,32768,332.5714416503906
1774154310.758206,34816,345.9200134277344
1774154311.5334015,36864,364.260009765625
1774154312.1559618,38912,383.19000244140625
1774154312.9071698,40960,400.739990234375
1774154313.5124104,43008,418.82000732421875
1774154314.1889377,45056,436.95001220703125
1774154314.8922648,47104,455.57000732421875
1774154315.8153727,49152,476.510009765625
1774154316.8007858,51200,491.0799865722656
1774154317.951228,53248,509.79998779296875
1774154319.5338244,55296,527.510009765625
1774154320.5772593,57344,544.3800048828125
1774154321.7006218,59392,547.2000122070312
1774154322.3401341,61440,565.030029296875
1774154322.8814454,63488,591.0
1774154323.6909926,65536,609.4500122070312
1774154324.3709686,67584,620.510009765625
1774154324.9932828,69632,637.3300170898438
1774154325.9369898,71680,653.239990234375
1774154326.5957532,73728,669.3200073242188
1774154327.3567486,75776,684.1599731445312
1774154328.3524806,77824,702.989990234375
1774154329.0827415,79872,719.75
1774154329.8232794,81920,732.1099853515625
1774154330.8562846,83968,742.8699951171875
1774154331.4423163,86016,759.02001953125
1774154332.1593022,88064,777.7100219726562
1774154332.7263782,90112,794.5800170898438
1774154333.3405418,92160,810.1599731445312
1774154334.0984476,94208,817.8599853515625
1774154335.0739052,96256,824.8200073242188
1774154335.7795193,98304,830.280029296875
1774154336.4117222,100352,843.0
1774154337.2580926,102400,846.5499877929688
1774154337.773274,104448,857.8499755859375
1774154338.30991,106496,865.280029296875
1774154339.0432634,108544,870.3200073242188
1774154339.6115348,110592,870.3200073242188
1774154340.279978,112640,870.3200073242188
1774154341.1374671,114688,870.3200073242188
1774154341.743445,116736,871.4000244140625
1774154342.443218,118784,881.6900024414062
1774154343.0104365,120832,898.510009765625
1774154343.589584,122880,898.510009765625
1774154344.4912157,124928,898.510009765625
1774154345.325056,126976,898.510009765625
1774154345.926497,129024,898.510009765625
1774154346.7155182,131072,898.5900268554688
1774154347.3697617,133120,906.760009765625
1774154348.431067,135168,906.760009765625
1774154349.084209,137216,870.9000244140625
1774154349.771448,139264,854.27001953125
1774154350.4901347,141312,857.280029296875
1774154351.414501,143360,860.2000122070312
1774154352.1149483,145408,870.5800170898438
1774154352.7079632,147456,890.0900268554688
1774154353.6505315,149504,909.489990234375
1774154354.1966887,151552,915.8300170898438
