Wall time,Step,Value
1774154287.4890220,2048,-32.20859900000000
1774154290.8966739,4096,-34.65232800000000
1774154291.8221760,6144,-35.82098400000000
1774154293.2586379,8192,-31.289038000000001
1774154294.8470600,10240,-26.115047000000001
1774154296.4616630,12288,-21.02324700000000
1774154298.0197999,14336,-19.27498400000000
1774154299.6130960,16384,-9.310307999999999
1774154301.217148,18432,-3.789330000000000
1774154302.199825,20480,3.6824230000000000
1774154303.7670939,22528,11.949026000000000
1774154305.3536091,24576,20.407630999999999
1774154306.5064361,26624,28.909303999999999
1774154307.2044711,28672,35.867271000000002
1774154308.1583929,30720,40.53763200000000
1774154309.799223,32768,49.54991100000000
1774154310.7582409,34816,58.1542850000000
1774154311.5334251,36864,67.93761400000000
1774154312.1559839,38912,76.6727070000000
1774154312.907191,40960,85.53511800000000
1774154313.5124390,43008,95.57074000000000
1774154314.1889651,45056,107.5541760000000
1774154314.892298,47104,118.81413999999999
1774154315.8153970,49152,128.6324920000000
1774154316.8008101,51200,139.23074299999999
1774154317.9512510,53248,151.4842070000000
1774154319.5338490,55296,164.2569580000000
1774154320.5772891,57344,173.70040900000001
1774154321.700644,59392,178.5589140000000
1774154322.340159,61440,191.83396900000000
1774154322.8814681,63488,212.63990799999999
1774154323.691021,65536,223.48751799999999
1774154324.3709919,67584,238.9893340000000
1774154324.9933159,69632,252.51890599999999
1774154325.937014,71680,268.3940730000000
1774154326.595783,73728,282.4785460000000
1774154327.3567750,75776,297.8360900000000
1774154328.3525040,77824,312.3534240000000
1774154329.0827661,79872,327.96527099999997
1774154329.8233070,81920,342.96728500000
1774154330.8563120,83968,357.7337950000000
1774154331.4423470,86016,375.6004940000000
1774154332.1593330,88064,392.53900099999998
1774154332.7264071,90112,404.98272700000001
1774154333.3405650,92160,417.9201350000000
1774154334.098473,94208,431.0947270000
1774154335.0739269,96256,441.49713100000002
1774154335.779546,98304,437.79925500000002
1774154336.411748,100352,448.85693400000
1774154337.2581210,102400,458.3020940000000
1774154337.7733009,104448,480.9498600000000
1774154338.3099370,106496,493.85882600000002
1774154339.0432889,108544,507.9267880000000
1774154339.6115630,110592,517.0254520000000
1774154340.2800050,112640,529.3217160000000
1774154341.137492,114688,540.843018000000
1774154341.743476,116736,553.8173220000000
1774154342.4432471,118784,567.9869380000000
1774154343.010466,120832,588.0047000000000
1774154343.5896089,122880,594.95947300000
1774154344.4912400,124928,604.1264040000000
1774154345.3250830,126976,615.6163940000000
1774154345.9265330,129024,625.1304930000000
1774154346.715541,131072,637.1193240000000
1774154347.3697870,133120,654.0948490000000
1774154348.4310930,135168,661.233643000000
