Wall time,Step,Value
1774154290.8966992,4096,0.04248046875
1774154291.822199,6144,0.03315429762005806
1774154293.2586591,8192,0.08083998411893845
1774154294.8470814,10240,0.05449218675494194
1774154296.461683,12288,0.05532226711511612
1774154298.0198233,14336,0.05092773586511612
1774154299.6131175,16384,0.05537109449505806
1774154301.217173,18432,0.05161132663488388
1774154302.199847,20480,0.0361328125
1774154303.7671168,22528,0.02177734300494194
1774154305.3536327,24576,0.05673827975988388
1774154306.5064595,26624,0.05447404459118843
1774154307.2044923,28672,0.0482700876891613
1774154308.1584156,30720,0.04335937649011612
1774154309.7992473,32768,0.04975586012005806
1774154310.7582836,34816,0.06831095367670059
1774154311.533445,36864,0.05275537818670273
1774154312.1560051,38912,0.05741279199719429
1774154312.9072125,40960,0.05139089748263359
1774154313.5124605,43008,0.0598958320915699
1774154314.1889884,45056,0.07021360844373703
1774154314.8923204,47104,0.07610887289047241
1774154315.8154197,49152,0.05602134019136429
1774154316.800834,51200,0.10312499850988388
1774154317.951273,53248,0.0538736991584301
1774154319.5338724,55296,0.086113341152668
1774154320.5773132,57344,0.08737245202064514
1774154321.7006645,59392,0.08135475218296051
1774154322.3401833,61440,0.06937500089406967
1774154322.8814898,63488,0.08096590638160706
1774154323.6910446,65536,0.08515624701976776
1774154324.3710144,67584,0.08353365212678909
1774154324.9933379,69632,0.06796874850988388
1774154325.937036,71680,0.0739927664399147
1774154326.5958068,73728,0.0796310231089592
1774154327.3567991,75776,0.07790017873048782
1774154328.3525274,77824,0.07284698635339737
1774154329.0827892,79872,0.09904234111309052
1774154329.8233302,81920,0.091206394135952
1774154330.8563366,83968,0.11406250298023224
1774154331.442369,86016,0.045673076063394547
1774154332.159357,88064,0.060229700058698654
1774154332.7264285,90112,0.1597222238779068
1774154333.3405867,92160,0.05674342066049576
1774154334.0984976,94208,0.0846875011920929
1774154335.0739484,96256,0.07596983015537262
1774154335.7795658,98304,0.0962456613779068
1774154336.411768,100352,0.07744564861059189
1774154337.2581427,102400,0.08547008782625198
1774154337.7733235,104448,0.10511363297700882
1774154338.3099585,106496,0.08413461595773697
1774154339.043311,108544,0.07623106241226196
1774154339.6115863,110592,0.09218750149011612
1774154340.2800286,112640,0.08045977354049683
1774154341.1375155,114688,0.07568359375
1774154341.7435024,116736,0.06725543737411499
1774154342.44327,118784,0.0787760391831398
1774154343.0104887,120832,0.05833333358168602
1774154343.5896325,122880,0.04891304299235344
1774154344.4912627,124928,0.08239233493804932
1774154345.3251061,126976,0.08087225258350372
1774154345.9265618,129024,0.078125
1774154346.7155626,131072,0.09375
1774154347.3698146,133120,0.07265625149011612
1774154348.4311163,135168,0.0803571417927742
1774154349.0842578,137216,0.08467742055654526
1774154349.7714968,139264,0.057769495993852615
1774154350.4901803,141312,0.07742537558078766
1774154351.4145467,143360,0.0989382266998291
1774154352.1149926,145408,0.09426229447126389
1774154352.7080123,147456,0.08626760542392731
1774154353.6505737,149504,0.06191406399011612
1774154354.1967394,151552,0.038352273404598236
1774154354.993109,153600,0.06220930069684982
1774154355.5949376,155648,0.06892123073339462
1774154356.1374671,157696,0.10546875
1774154356.8697112,159744,0.08560739457607269
1774154357.5019872,161792,0.07774390280246735
1774154358.1110206,163840,0.06354166567325592
1774154359.114267,165888,0.11594203114509583
1774154360.0801883,167936,0.08268704265356064
1774154360.6071625,169984,0.0690789446234703
1774154361.231478,172032,0.07267441600561142
1774154362.0051093,174080,0.11452879756689072
1774154362.602196,176128,0.0590018667280674
1774154363.1512501,178176,0.0927734375
1774154363.7129908,180224,0.03251689299941063
1774154364.979156,182272,0.08991608768701553
1774154365.622191,184320,0.07765151560306549
1774154366.461744,186368,0.09211482852697372
1774154367.0509005,188416,0.10208333283662796
1774154367.664422,190464,0.09062500298023224
1774154368.245752,192512,0.0711805522441864
1774154368.9157994,194560,0.0674542710185051
1774154369.4709954,196608,0.08281250298023224
1774154370.0535767,198656,0.10302734375
1774154370.7086124,200704,0.0846519023180008
1774154371.7348044,202752,0.09310787916183472
1774154372.5913715,204800,0.07623626291751862
1774154373.3420303,206848,0.09430407732725143
1774154374.0249116,208896,0.08368055522441864
1774154374.6221533,210944,0.0755208358168602
1774154375.248746,212992,0.07958984375
1774154375.9064424,215040,0.06850961595773697
1774154376.5042567,217088,0.0711805522441864
1774154377.1544232,219136,0.09620535373687744
1774154377.7467232,221184,0.11305147409439087
1774154378.3233144,223232,0.10294117778539658
1774154378.8741014,225280,0.125
