Wall time,Step,Value
1774154290.8967106,4096,-1.4087265729904175
1774154291.8222108,6144,-1.394968032836914
1774154293.2586699,8192,-1.3771952390670776
1774154294.8470922,10240,-1.3592884540557861
1774154296.461692,12288,-1.3494056463241577
1774154298.0198345,14336,-1.344963550567627
1774154299.613128,16384,-1.3426315784454346
1774154301.2171848,18432,-1.341080904006958
1774154302.1998575,20480,-1.3385694026947021
1774154303.767127,22528,-1.3339241743087769
1774154305.3536441,24576,-1.3265763521194458
1774154306.5064707,26624,-1.3210939168930054
1774154307.2045023,28672,-1.315364122390747
1774154308.1584258,30720,-1.310677170753479
1774154309.799259,32768,-1.3070833683013916
1774154310.7583137,34816,-1.3043625354766846
1774154311.5334554,36864,-1.2993601560592651
1774154312.156015,38912,-1.2930738925933838
1774154312.9072227,40960,-1.2869688272476196
1774154313.512471,43008,-1.2810574769973755
1774154314.1890006,45056,-1.279538869857788
1774154314.8923316,47104,-1.2756046056747437
1774154315.8154314,49152,-1.2650868892669678
1774154316.8008463,51200,-1.255831241607666
1774154317.951283,53248,-1.2518583536148071
1774154319.5338836,55296,-1.2489804029464722
1774154320.5773253,57344,-1.2430486679077148
1774154321.700674,59392,-1.2398011684417725
1774154322.3401952,61440,-1.2411608695983887
1774154322.8815005,63488,-1.2406489849090576
1774154323.6910558,65536,-1.2408244609832764
1774154324.3710287,67584,-1.242972731590271
1774154324.9933488,69632,-1.2427966594696045
1774154325.937047,71680,-1.2427160739898682
1774154326.5958183,73728,-1.2359815835952759
1774154327.356811,75776,-1.2290716171264648
1774154328.352538,77824,-1.2190483808517456
1774154329.082801,79872,-1.2110216617584229
1774154329.8233438,81920,-1.2064357995986938
1774154330.8563485,83968,-1.1995158195495605
1774154331.4423797,86016,-1.1960707902908325
1774154332.1593685,88064,-1.192393183708191
1774154332.7264388,90112,-1.1904853582382202
1774154333.3405979,92160,-1.1898515224456787
1774154334.0985088,94208,-1.1821683645248413
1774154335.0739584,96256,-1.166193962097168
1774154335.7795756,98304,-1.157011866569519
1774154336.4117785,100352,-1.155043601989746
1774154337.2581534,102400,-1.1503140926361084
1774154337.7733386,104448,-1.1464053392410278
1774154338.309969,106496,-1.1458255052566528
1774154339.043322,108544,-1.1427116394042969
1774154339.6115975,110592,-1.1404706239700317
1774154340.2800403,112640,-1.1392961740493774
1774154341.137527,114688,-1.1383217573165894
1774154341.743513,116736,-1.1360975503921509
1774154342.443281,118784,-1.1311416625976562
1774154343.010499,120832,-1.1251881122589111
1774154343.5896435,122880,-1.1242479085922241
1774154344.4912744,124928,-1.118190050125122
1774154345.3251176,126976,-1.1125003099441528
1774154345.9265769,129024,-1.1126315593719482
1774154346.715573,131072,-1.108594536781311
1774154347.3698266,133120,-1.1052589416503906
1774154348.4311278,135168,-1.097195029258728
1774154349.084269,137216,-1.0884652137756348
1774154349.771507,139264,-1.0874121189117432
1774154350.4901915,141312,-1.0858123302459717
1774154351.414558,143360,-1.0750161409378052
1774154352.115003,145408,-1.0656887292861938
1774154352.7080226,147456,-1.065536379814148
1774154353.6505837,149504,-1.0585061311721802
1774154354.1967506,151552,-1.049847960472107
1774154354.993119,153600,-1.0477263927459717
1774154355.594948,155648,-1.0447028875350952
1774154356.1374826,157696,-1.0438599586486816
1774154356.8697233,159744,-1.0425571203231812
1774154357.5019984,161792,-1.0388882160186768
1774154358.1110313,163840,-1.0372127294540405
1774154359.114278,165888,-1.035064458847046
1774154360.0801997,167936,-1.0287790298461914
1774154360.6071725,169984,-1.0237172842025757
1774154361.2314882,172032,-1.0210028886795044
1774154362.0051198,174080,-1.0133720636367798
1774154362.602206,176128,-1.0061557292938232
1774154363.1512606,178176,-1.0052944421768188
1774154363.7130017,180224,-1.0037040710449219
1774154364.9791672,182272,-0.9892269968986511
1774154365.6222024,184320,-0.9780139327049255
1774154366.4617553,186368,-0.9742814302444458
1774154367.050912,188416,-0.968274712562561
1774154367.6644363,190464,-0.9667000770568848
1774154368.2457628,192512,-0.9663596153259277
1774154368.9158099,194560,-0.9660540819168091
1774154369.4710054,196608,-0.9656176567077637
1774154370.0535877,198656,-0.9647380709648132
1774154370.708624,200704,-0.9619447588920593
1774154371.7348163,202752,-0.9585927724838257
1774154372.5913832,204800,-0.9557222127914429
1774154373.342042,206848,-0.9539221525192261
1774154374.0249226,208896,-0.9520260691642761
1774154374.622165,210944,-0.9516586065292358
1774154375.2487576,212992,-0.9496708512306213
1774154375.906453,215040,-0.9472147226333618
1774154376.5042675,217088,-0.9478817582130432
1774154377.154435,219136,-0.9460331201553345
1774154377.746734,221184,-0.9448904395103455
1774154378.3233256,223232,-0.9453831315040588
1774154378.8741124,225280,-0.9458720088005066
1774154379.7408264,227328,-0.9451010823249817
1774154380.3237376,229376,-0.9408032894134521
1774154381.134508,231424,-0.9361900091171265
1774154381.7386384,233472,-0.9325818419456482
1774154382.644733,235520,-0.9301420450210571
1774154383.8038814,237568,-0.9283499121665955
1774154384.8860457,239616,-0.9250592589378357
1774154385.6447985,241664,-0.9203174114227295
1774154386.693224,243712,-0.9169580936431885
1774154387.7287893,245760,-0.9150288105010986
1774154388.27119,247808,-0.9161999821662903
1774154388.9370377,249856,-0.9140036106109619
1774154390.2947273,251904,-0.905005693435669
1774154391.2621033,253952,-0.895976185798645
1774154392.618199,256000,-0.8879064321517944
1774154393.2275763,258048,-0.8806257843971252
1774154393.914088,260096,-0.8792234063148499
1774154394.4931495,262144,-0.8790963292121887
1774154395.2714062,264192,-0.8750705122947693
1774154395.898816,266240,-0.8714829683303833
1774154396.9047961,268288,-0.8656948208808899
1774154398.2659152,270336,-0.8570654988288879
1774154399.02533,272384,-0.8525728583335876
1774154400.015022,274432,-0.8508852124214172
1774154400.8172948,276480,-0.8516132235527039
1774154401.7475677,278528,-0.8528053164482117
1774154402.942116,280576,-0.8514161109924316
1774154403.8176963,282624,-0.8459541201591492
1774154404.925785,284672,-0.8428453803062439
1774154405.6269712,286720,-0.8423902988433838
1774154406.189711,288768,-0.8422437310218811
1774154406.8163552,290816,-0.8429343700408936
1774154407.3861718,292864,-0.8416683077812195
1774154408.0015237,294912,-0.8405097126960754
1774154408.8364239,296960,-0.8369462490081787
1774154409.5936768,299008,-0.8312063813209534
1774154410.8925664,301056,-0.8279469013214111
1774154411.926555,303104,-0.8260049223899841
1774154413.4924903,305152,-0.8240954279899597
1774154415.1017401,307200,-0.8180978298187256
1774154416.7019017,309248,-0.8135690689086914
1774154417.363584,311296,-0.8109762668609619
1774154417.9426565,313344,-0.8106246590614319
1774154418.9684346,315392,-0.8103254437446594
1774154419.5794342,317440,-0.8090682625770569
1774154420.4585717,319488,-0.8071022629737854
1774154421.6720047,321536,-0.8037757277488708
1774154422.2804952,323584,-0.8020781874656677
1774154422.808712,325632,-0.8025214076042175
1774154423.4017723,327680,-0.8014897704124451
1774154423.913955,329728,-0.8000659942626953
1774154424.4262373,331776,-0.8003220558166504
1774154425.98551,333824,-0.8000058531761169
1774154426.8434532,335872,-0.7969246506690979
1774154427.556361,337920,-0.7941746711730957
1774154428.262141,339968,-0.7951429486274719
1774154428.9349484,342016,-0.794722855091095
1774154429.4957442,344064,-0.7935042977333069
1774154430.2907157,346112,-0.7920204997062683
1774154431.892099,348160,-0.7907337546348572
1774154433.545576,350208,-0.7874858975410461
1774154434.229557,352256,-0.7871133089065552
1774154435.004506,354304,-0.784935712814331
1774154435.8318198,356352,-0.7815280556678772
1774154437.4818704,358400,-0.777116060256958
1774154438.3057852,360448,-0.7769471406936646
