Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
worldframe,-1.38777878078145E-17,0,0,0,0,0,0.110269902141002,1.98485823853803E-06,0,-6.23297226145094E-37,0.00873643623935175,0,0.00873643623935175,0,0,0,0,0,0,package://625/meshes/worldframe.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://625/meshes/worldframe.STL,,worldframe-1,Global_Coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
cart,0,-0.0115731328196949,1.38777878078145E-17,0,0,0,0.0591176983883785,2.1955477069531E-05,-7.02544661956166E-21,-1.71639977104753E-20,6.51288177802238E-05,-1.27862900910289E-21,5.84869244964136E-05,0,0,0,0,0,0,package://625/meshes/cart.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://625/meshes/cart.STL,,cart-1,Coordinate System_Cart,Global_X_axis,cart_prismatic,prismatic,0,0,0,-1.5708,0,1.5708,worldframe,0,0,1,150,10,-0.45,0.45,,,,,,,,
pole,0.110628550437928,7.64757812993233E-07,0.00747893096278375,0,0,0,0.0196338198617314,1.18986451079751E-05,-5.00651553640558E-10,-2.50233051799663E-05,0.000197330863226456,-4.42819475899637E-11,0.000185589544905526,0,0,0,0,0,0,package://625/meshes/pole.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://625/meshes/pole.STL,,pole-1,Coordinate System_pole,Z_pole,pole_continuous,continuous,0.036,-0.02,0,1.5708,0,1.5708,cart,0,0,1,,,,,,,,,,,,
